question,doc_id,expected_facts
Which SKUs are at stockout risk this week?,POL-003,"stock<=reorder_point is at-risk; stock<=safety_stock is critical"
Why should SKU-014 be reordered now?,POL-003,"SKU-014 stock below reorder_point; critical SKUs get immediate PO"
What is the safety stock level for SKU-032 and how was it calculated?,POL-001,"safety stock = Z x stddev x sqrt(lead time); SKU-032 worked example"
How is the reorder point formula defined?,POL-001,"reorder point = avg daily demand x avg lead time + safety stock"
Which supplier delays are violating SLA?,POL-002,"delivery past expected+2d grace is breach; SUP-04/SUP-11 late"
Which suppliers have the worst on-time performance?,POL-002,"on-time below 90% review; below 80% penalty"
What penalty applies when a supplier repeatedly breaches SLA?,POL-002,"2% credit per late PO capped 10%; 3 lates in 30d escalates"
What action should the planner take for critical SKU-007?,POL-003,"raise PO immediately; expedite if lead time > 7 days"
Explain the reorder recommendation for SKU-032 using company policy,POL-003,"prioritize critical A-items; cite stock vs reorder_point"
What does the exception handling SOP say about demand spikes?,POL-007,"spike = 2x forecast for 2+ days; emergency PO if cover < 7d"
What should be done if a demand spike hits a critical SKU?,POL-007,"never ignore; log exception; notify ops manager"
When should the planner use expedited shipping?,POL-004,"critical SKU < 7d cover with no inbound PO; SLA breach + safety breached"
Who approves expedited freight over $500?,POL-004,"ops manager approves; planner approves under $500"
What is required to onboard a new vendor?,POL-005,"license; ISO9001; 3 references; lead-time letter"
What scorecard decides if a vendor becomes preferred?,POL-005,"on-time 40/quality 30/responsive 15/cost 15; min 75/100"
How is inventory valued in this company?,POL-006,"weighted-average cost via unit_cost_usd; revalue monthly"
What write-down applies to obsolete stock over 180 days?,POL-006,"50% provision; 100% if dead over 365 days"
What must the planner do before issuing a PO to a new supplier?,POL-005,"contact email mandatory in suppliers master"
How are SLA breaches escalated by the planner?,POL-002,"flag breach; contact supplier ops email; open backup PO if cover < 14d"
What compares against expedite cost in the approval decision?,POL-004,"expedite cost vs stockout cost (lost margin per day)"
